"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"514","RT @DIGITALPRODUCT: Why'd they have to do my Gaga like that!!!!??!!!!<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> @ladygaga #LadyGaga #SuperBowl #halftimeshow #meme #funny #shootin…",FALSE,0,NA,2017-02-19 00:15:08,FALSE,NA,"833107616440152064",NA,"<a href=""http://gnikllort.com/"" rel=""nofollow"">Like4pepe</a>","Im_L_Lawliet",21,TRUE,FALSE,NA,NA
"515","RT @ConanOBrien: Here's a sneak preview of tonight’s #CluelessGamer featuring #Superbowl rivals Tom Brady and @DwightFreeney. Watch @ 11/10…",FALSE,0,NA,2017-02-19 00:15:07,FALSE,NA,"833107611423735808",NA,"<a href=""https://xn--cumpleaosdefamosos-t0b.com"" rel=""nofollow"">Cumpleaños de Famosos</a>","famososcumplen",647,TRUE,FALSE,NA,NA
"516","RT @coomerchron: Video: #SuperBowl Live ride aims to inspire #astronauts of the future with virtual trip to #mars @andrearumbaugh https://t…",FALSE,0,NA,2017-02-19 00:14:57,FALSE,NA,"833107569996656640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Yd7LtqQKszn9h6u",13,TRUE,FALSE,NA,NA
"517","RT @jazzyfay161: #SuperBowl #tombrady https://t.co/KvHwX1toUc",FALSE,0,NA,2017-02-19 00:14:41,FALSE,NA,"833107503550447616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","im1DWJqZ4hTecSV",2,TRUE,FALSE,NA,NA
"518","El descanso de la #SuperBowl siempre ha sido para los mejores. Recordemos a Prince y su lluvia purple. Bona nit!

https://t.co/cy558TNlmk",FALSE,2,NA,2017-02-19 00:14:36,FALSE,NA,"833107482239184896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","otramallorca",1,FALSE,FALSE,NA,NA
"519","RT @DIGITALPRODUCT: Why'd they have to do my Gaga like that!!!!??!!!!<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> @ladygaga #LadyGaga #SuperBowl #halftimeshow #meme #funny #shootin…",FALSE,0,NA,2017-02-19 00:14:32,FALSE,NA,"833107464585371648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jordeeeennnn",21,TRUE,FALSE,NA,NA
"520","RT @MarinaDiamandis: #SuperBowl @LadyGaga was so fabulous. Uncompromising, entertaining and true. <U+2B50><U+FE0F><U+2764><U+FE0F>",FALSE,0,NA,2017-02-19 00:14:29,FALSE,NA,"833107449536192514",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","ericmustdie",6941,TRUE,FALSE,NA,NA
"521","RT @charliekirk11: Don't worry Mr. President, I got this. #SuperBowl https://t.co/rBhRiuFwzi",FALSE,0,NA,2017-02-19 00:14:13,FALSE,NA,"833107383807262720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vItrhXxJbDuwsJo",4271,TRUE,FALSE,NA,NA
"522","RT @8bitOptimist: #TomBrady #5 #Patriots #SuperBowl #GOAT <ed><U+00A0><U+00BD><ed><U+00B0><U+0090><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D> https://t.co/pWum7DAs8c",FALSE,0,NA,2017-02-19 00:14:08,FALSE,NA,"833107363154493441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","l9YHv0LNis2LRdC",3,TRUE,FALSE,NA,NA
"523","RT @tagesthemen: Die originellen Werbespots beim #SuperBowl sind legendär. So politisch wie in diesem Jahr waren sie wohl noch nie, bericht…",FALSE,0,NA,2017-02-19 00:13:46,FALSE,NA,"833107273278976001",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ivankarpov0s",93,TRUE,FALSE,NA,NA
"524","RT @AnnaHelton7: New England Patriots pull off the most stunning comeback in #SuperBowl history https://t.co/HkEM2ajrDc via @HuffPostSports",FALSE,0,NA,2017-02-19 00:13:41,FALSE,NA,"833107249237262336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ymv0HP0VZBjsDwe",3,TRUE,FALSE,NA,NA
